SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
GOKUL,GOKUL.NS,Gokul Refoils and Solvent Limited,EQ,4-Jun-08,2,1,INE020J01029,2
GOKULAGRO,GOKULAGRO.NS,Gokul Agro Resources Limited,EQ,11-Mar-16,2,1,INE314T01025,2
GOLDENTOBC,GOLDENTOBC.NS,Golden Tobacco Limited,BZ,8-Feb-95,10,1,INE973A01010,10
GOLDIAM,GOLDIAM.NS,Goldiam International Limited,EQ,29-Aug-05,2,1,INE025B01025,2
GOLDTECH,GOLDTECH.NS,AION-TECH SOLUTIONS LIMITED,EQ,11-Apr-01,10,1,INE805A01014,10
GOODLUCK,GOODLUCK.NS,Goodluck India Limited,EQ,8-Jan-15,2,1,INE127I01024,2
GOPAL,GOPAL.NS,Gopal Snacks Limited,EQ,14-Mar-24,1,1,INE0L9R01028,1
GOYALALUM,GOYALALUM.NS,Goyal Aluminiums Limited,EQ,4-Nov-22,1,1,INE705X01026,1
GPIL,GPIL.NS,Godawari Power And Ispat limited,EQ,25-Apr-06,5,1,INE177H01021,5
GPPL,GPPL.NS,Gujarat Pipavav Port Limited,EQ,9-Sep-10,10,1,INE517F01014,10
GPTHEALTH,GPTHEALTH.NS,GPT Healthcare Limited,EQ,29-Feb-24,10,1,INE486R01017,10
GPTINFRA,GPTINFRA.NS,GPT Infraprojects Limited,BE,11-Jul-16,10,1,INE390G01014,10
GRANULES,GRANULES.NS,Granules India Limited,EQ,20-Jun-05,1,1,INE101D01020,1
GRAPHITE,GRAPHITE.NS,Graphite India Limited,EQ,7-Feb-03,2,1,INE371A01025,2
GRASIM,GRASIM.NS,Grasim Industries Limited,EQ,10-May-95,2,1,INE047A01021,2
GRAVITA,GRAVITA.NS,Gravita India Limited,EQ,16-Nov-10,2,1,INE024L01027,2
GREAVESCOT,GREAVESCOT.NS,Greaves Cotton Limited,EQ,9-Sep-04,2,1,INE224A01026,2
GREENLAM,GREENLAM.NS,Greenlam Industries Limited,EQ,2-Mar-15,1,1,INE544R01021,1
GREENPANEL,GREENPANEL.NS,Greenpanel Industries Limited,EQ,23-Oct-19,1,1,INE08ZM01014,1
GREENPLY,GREENPLY.NS,Greenply Industries Limited,EQ,6-Mar-96,1,1,INE461C01038,1
GREENPOWER,GREENPOWER.NS,Orient Green Power Company Limited,EQ,8-Oct-10,10,1,INE999K01014,10
GRINDWELL,GRINDWELL.NS,Grindwell Norton Limited,EQ,11-Sep-06,5,1,INE536A01023,5
GRINFRA,GRINFRA.NS,G R Infraprojects Limited,EQ,19-Jul-21,5,1,INE201P01022,5
GRMOVER,GRMOVER.NS,GRM Overseas Limited,EQ,7-Sep-22,2,1,INE192H01020,2
GROBTEA,GROBTEA.NS,The Grob Tea Company Limited,EQ,14-Jul-16,10,1,INE646C01018,10
GRPLTD,GRPLTD.NS,GRP Limited,BE,12-Feb-15,10,1,INE137I01015,10
GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-18,10,1,INE382Z01011,10
GRWRHITECH,GRWRHITECH.NS,Garware Hi-Tech Films Limited,EQ,3-Feb-22,10,1,INE291A01017,10
GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,EQ,6-Sep-95,2,1,INE026A01025,2
GSLSU,GSLSU.NS,Global Surfaces Limited,EQ,23-Mar-23,10,1,INE0JSX01015,10
GSPL,GSPL.NS,Gujarat State Petronet Limited,EQ,16-Feb-06,10,1,INE246F01010,10
GSS,GSS.NS,GSS Infotech Limited,EQ,7-Mar-08,10,1,INE871H01011,10
GTECJAINX,GTECJAINX.NS,G-TEC JAINX EDUCATION LIMITED,BE,13-Nov-20,10,1,INE586X01012,10
GTL,GTL.NS,GTL Limited,EQ,29-Mar-95,10,1,INE043A01012,10
GTLINFRA,GTLINFRA.NS,GTL Infrastructure Limited,EQ,9-Nov-06,10,1,INE221H01019,10
GTPL,GTPL.NS,GTPL Hathway Limited,EQ,4-Jul-17,10,1,INE869I01013,10
GUFICBIO,GUFICBIO.NS,Gufic Biosciences Limited,EQ,19-Oct-04,1,1,INE742B01025,1
GUJALKALI,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,EQ,7-Aug-97,10,1,INE186A01019,10
GUJAPOLLO,GUJAPOLLO.NS,Gujarat Apollo Industries Limited,BE,4-Jun-07,10,1,INE826C01016,10
GUJGASLTD,GUJGASLTD.NS,Gujarat Gas Limited,EQ,15-Sep-15,2,1,INE844O01030,2
GUJRAFFIA,GUJRAFFIA.NS,Gujarat Raffia Industries Limited,EQ,9-Oct-96,10,100,INE610B01024,10
GULFOILLUB,GULFOILLUB.NS,Gulf Oil Lubricants India Limited,EQ,31-Jul-14,2,1,INE635Q01029,2
GULFPETRO,GULFPETRO.NS,GP Petroleums Limited,EQ,24-Sep-04,5,1,INE586G01017,5
GULPOLY,GULPOLY.NS,Gulshan Polyols Limited,EQ,28-Jan-15,1,1,INE255D01024,1
GVKPIL,GVKPIL.NS,GVK Power & Infrastructure Limited,BE,27-Feb-06,1,1,INE251H01024,1
GVPTECH,GVPTECH.NS,GVP Infotech Limited,EQ,6-Sep-22,2,1,INE382T01030,2
HAL,HAL.NS,Hindustan Aeronautics Limited,EQ,28-Mar-18,5,1,INE066F01020,5
HAPPSTMNDS,HAPPSTMNDS.NS,Happiest Minds Technologies Limited,EQ,17-Sep-20,2,1,INE419U01012,2
HAPPYFORGE,HAPPYFORGE.NS,Happy Forgings Limited,EQ,27-Dec-23,2,1,INE330T01021,2
HARDWYN,HARDWYN.NS,Hardwyn India Limited,EQ,12-Apr-22,1,1,INE626Z01029,1
HARIOMPIPE,HARIOMPIPE.NS,Hariom Pipe Industries Limited,EQ,13-Apr-22,10,1,INE00EV01017,10
HARRMALAYA,HARRMALAYA.NS,Harrisons  Malayalam Limited,BE,8-Feb-95,10,1,INE544A01019,10
HARSHA,HARSHA.NS,Harsha Engineers International Limited,EQ,26-Sep-22,10,1,INE0JUS01029,10
HATHWAY,HATHWAY.NS,Hathway Cable & Datacom Limited,EQ,25-Feb-10,2,1,INE982F01036,2
HATSUN,HATSUN.NS,Hatsun Agro Product Limited,EQ,20-Jun-14,1,1,INE473B01035,1
HAVELLS,HAVELLS.NS,Havells India Limited,EQ,21-Mar-01,1,1,INE176B01034,1
HAVISHA,HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-Feb-00,2,1,INE293B01029,2
HBLPOWER,HBLPOWER.NS,HBL Power Systems Limited,EQ,4-Jan-07,1,1,INE292B01021,1
HBSL,HBSL.NS,HB Stockholdings Limited,BE,23-Jul-18,10,1,INE550B01022,10
HCC,HCC.NS,Hindustan Construction Company Limited,EQ,1-Apr-03,1,1,INE549A01026,1
HCG,HCG.NS,Healthcare Global Enterprises Limited,EQ,30-Mar-16,10,1,INE075I01017,10
HCL-INSYS,HCL-INSYS.NS,HCL Infosystems Limited,EQ,1-Jan-97,2,1,INE236A01020,2
HCLTECH,HCLTECH.NS,HCL Technologies Limited,EQ,6-Jan-00,2,1,INE860A01027,2
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Limited,EQ,6-Aug-18,5,1,INE127D01025,5
HDFCBANK,HDFCBANK.NS,HDFC Bank Limited,EQ,8-Nov-95,1,1,INE040A01034,1
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Limited,EQ,17-Nov-17,10,1,INE795G01014,10
HEADSUP,HEADSUP.NS,Heads UP Ventures Limited,EQ,14-Dec-16,10,1,INE759V01019,10
HECPROJECT,HECPROJECT.NS,HEC Infra Projects Limited,BE,30-Dec-21,10,1,INE558R01013,10
HEG,HEG.NS,HEG Limited,EQ,10-May-95,10,1,INE545A01016,10
HEIDELBERG,HEIDELBERG.NS,HeidelbergCement India Limited,EQ,15-Mar-95,10,1,INE578A01017,10
HEMIPROP,HEMIPROP.NS,Hemisphere Properties India Limited,EQ,22-Oct-20,10,1,INE0AJG01018,10
HERANBA,HERANBA.NS,Heranba Industries Limited,EQ,5-Mar-21,10,1,INE694N01015,10
HERCULES,HERCULES.NS,Hercules Hoists Limited,EQ,19-Feb-08,1,1,INE688E01024,1
HERITGFOOD,HERITGFOOD.NS,Heritage Foods Limited,EQ,27-Nov-96,5,1,INE978A01027,5
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Limited,EQ,11-Apr-03,2,1,INE158A01026,2
HESTERBIO,HESTERBIO.NS,Hester Biosciences Limited,EQ,13-Mar-15,10,1,INE782E01017,10
HEUBACHIND,HEUBACHIND.NS,Heubach Colorants India Limited,EQ,14-Jun-95,10,1,INE492A01029,10
HEXATRADEX,HEXATRADEX.NS,Hexa Tradex Limited,BE,20-Apr-12,2,1,INE750M01017,2
HFCL,HFCL.NS,HFCL Limited,EQ,9-Mar-11,1,1,INE548A01028,1
HGINFRA,HGINFRA.NS,H.G. Infra Engineering Limited,EQ,9-Mar-18,10,1,INE926X01010,10
HGS,HGS.NS,Hinduja Global Solutions Limited,EQ,19-Jun-07,10,1,INE170I01016,10
HIKAL,HIKAL.NS,Hikal Limited,EQ,14-Feb-01,2,1,INE475B01022,2
HIL,HIL.NS,HIL Limited,EQ,26-Apr-95,10,1,INE557A01011,10
HILTON,HILTON.NS,Hilton Metal Forging Limited,EQ,24-May-07,10,1,INE788H01017,10
HIMATSEIDE,HIMATSEIDE.NS,Himatsingka Seide Limited,EQ,8-Feb-95,5,1,INE049A01027,5
HINDALCO,HINDALCO.NS,Hindalco Industries Limited,EQ,8-Jan-97,1,1,INE038A01020,1
HINDCOMPOS,HINDCOMPOS.NS,Hindustan Composites Limited,EQ,8-May-96,5,1,INE310C01029,5
HINDCON,HINDCON.NS,Hindcon Chemicals Limited,EQ,5-Jul-21,2,1,INE642Y01029,2
HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Limited,EQ,15-Sep-10,5,1,INE531E01026,5
HINDMOTORS,HINDMOTORS.NS,Hindustan Motors Limited,BE,21-Feb-11,5,1,INE253A01025,5
HINDNATGLS,HINDNATGLS.NS,Hindusthan National Glass & Industries Limited,BE,15-Apr-09,2,1,INE952A01022,2
HINDOILEXP,HINDOILEXP.NS,Hindustan Oil Exploration Company Limited,EQ,23-Sep-03,10,1,INE345A01011,10
HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,EQ,17-Jun-98,10,1,INE094A01015,10
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Limited,EQ,6-Jul-95,1,1,INE030A01027,1
HINDWAREAP,HINDWAREAP.NS,Hindware Home Innovation Limited,EQ,26-Dec-19,2,1,INE05AN01011,2
HINDZINC,HINDZINC.NS,Hindustan Zinc Limited,EQ,21-Nov-06,2,1,INE267A01025,2
HIRECT,HIRECT.NS,Hind Rectifiers Limited,EQ,26-Dec-06,2,1,INE835D01023,2
HISARMETAL,HISARMETAL.NS,Hisar Metal Industries Limited,EQ,5-Jan-17,10,1,INE598C01011,10
HITECH,HITECH.NS,Hi-Tech Pipes Limited,EQ,7-May-18,1,1,INE106T01025,1
HITECHCORP,HITECHCORP.NS,Hitech Corporation Limited,EQ,20-Dec-07,10,1,INE120D01012,10
HITECHGEAR,HITECHGEAR.NS,The Hi-Tech Gears Limited,BE,21-Jan-02,10,1,INE127B01011,10
HLEGLAS,HLEGLAS.NS,HLE Glascoat Limited,EQ,9-Feb-23,2,1,INE461D01028,2
HLVLTD,HLVLTD.NS,HLV LIMITED,EQ,19-Jul-95,2,1,INE102A01024,2
HMAAGRO,HMAAGRO.NS,HMA Agro Industries Limited,EQ,4-Jul-23,1,1,INE0ECP01024,1
HMT,HMT.NS,HMT Limited,BZ,29-Aug-03,10,1,INE262A01018,10
HMVL,HMVL.NS,Hindustan Media Ventures Limited,EQ,21-Jul-10,10,1,INE871K01015,10
HNDFDS,HNDFDS.NS,Hindustan Foods Limited,EQ,6-Jun-23,2,1,INE254N01026,2
HOMEFIRST,HOMEFIRST.NS,Home First Finance Company India Limited,EQ,3-Feb-21,2,1,INE481N01025,2
HONASA,HONASA.NS,Honasa Consumer Limited,EQ,7-Nov-23,10,1,INE0J5401028,10
HONAUT,HONAUT.NS,Honeywell Automation India Limited,EQ,18-Jul-03,10,1,INE671A01010,10
HONDAPOWER,HONDAPOWER.NS,Honda India Power Products Limited,EQ,1-Apr-03,10,1,INE634A01018,10
HOVS,HOVS.NS,HOV Services Limited,BE,27-Sep-06,10,1,INE596H01014,10
HPAL,HPAL.NS,HP Adhesives Limited,EQ,27-Dec-21,2,1,INE0GSL01024,2
HPIL,HPIL.NS,Hindprakash Industries Limited,EQ,7-Nov-22,10,1,INE05X901010,10
HPL,HPL.NS,HPL Electric & Power Limited,EQ,4-Oct-16,10,1,INE495S01016,10
HSCL,HSCL.NS,Himadri Speciality Chemical Limited,EQ,2-Mar-07,1,1,INE019C01026,1
HTMEDIA,HTMEDIA.NS,HT Media Limited,EQ,1-Sep-05,2,1,INE501G01024,2
HUBTOWN,HUBTOWN.NS,Hubtown Limited,BE,7-Feb-07,10,1,INE703H01016,10
HUDCO,HUDCO.NS,Housing & Urban Development Corporation Limited,EQ,19-May-17,10,1,INE031A01017,10
HUHTAMAKI,HUHTAMAKI.NS,Huhtamaki India Limited,EQ,1-Oct-04,2,1,INE275B01026,2
HYBRIDFIN,HYBRIDFIN.NS,Hybrid Financial Services Limited,BE,5-Dec-22,5,1,INE965B01022,5
ICDSLTD,ICDSLTD.NS,ICDS Limited,BE,17-Nov-99,10,1,INE613B01010,10
ICEMAKE,ICEMAKE.NS,Ice Make Refrigeration Limited,EQ,12-Oct-20,10,1,INE520Y01019,10
ICICIBANK,ICICIBANK.NS,ICICI Bank Limited,EQ,17-Sep-97,2,1,INE090A01021,2
ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,EQ,27-Sep-17,10,1,INE765G01017,10
ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,EQ,29-Sep-16,10,1,INE726G01019,10
ICIL,ICIL.NS,Indo Count Industries Limited,EQ,12-Sep-05,2,1,INE483B01026,2
ICRA,ICRA.NS,ICRA Limited,EQ,13-Apr-07,10,1,INE725G01011,10
IDBI,IDBI.NS,IDBI Bank Limited,EQ,20-Sep-95,10,1,INE008A01015,10
IDEA,IDEA.NS,Vodafone Idea Limited,EQ,9-Mar-07,10,1,INE669E01016,10
IDEAFORGE,IDEAFORGE.NS,Ideaforge Technology Limited,EQ,7-Jul-23,10,1,INE349Y01013,10
IDFC,IDFC.NS,IDFC Limited,EQ,12-Aug-05,10,1,INE043D01016,10
IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Limited,EQ,6-Nov-15,10,1,INE092T01019,10
IEL,IEL.NS,Indiabulls Enterprises Limited,BE,27-Dec-22,2,1,INE059901020,2
IEX,IEX.NS,Indian Energy Exchange Limited,EQ,23-Oct-17,1,1,INE022Q01020,1
IFBAGRO,IFBAGRO.NS,IFB Agro Industries Limited,BE,3-Apr-96,10,1,INE076C01018,10
IFBIND,IFBIND.NS,IFB Industries Limited,EQ,29-Mar-95,10,1,INE559A01017,10
IFCI,IFCI.NS,IFCI Limited,EQ,26-Apr-95,10,1,INE039A01010,10
IFGLEXPOR,IFGLEXPOR.NS,IFGL Refractories Limited,EQ,14-Nov-17,10,1,INE133Y01011,10
IGARASHI,IGARASHI.NS,Igarashi Motors India Limited,EQ,9-Oct-03,10,1,INE188B01013,10
IGL,IGL.NS,Indraprastha Gas Limited,EQ,26-Dec-03,2,1,INE203G01027,2
IGPL,IGPL.NS,IG Petrochemicals Limited,EQ,29-Jan-07,10,1,INE204A01010,10
IIFL,IIFL.NS,IIFL Finance Limited,EQ,17-May-05,2,1,INE530B01024,2
IIFLSEC,IIFLSEC.NS,IIFL Securities Limited,EQ,20-Sep-19,2,1,INE489L01022,2
IITL,IITL.NS,Industrial Investment Trust Limited,BE,17-Aug-10,10,1,INE886A01014,10
IKIO,IKIO.NS,IKIO Lighting Limited,EQ,16-Jun-23,10,1,INE0LOJ01019,10
IL&FSENGG,IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited,BZ,25-Oct-07,10,1,INE369I01014,10
IL&FSTRANS,IL&FSTRANS.NS,IL&FS Transportation Networks Limited,BZ,30-Mar-10,10,1,INE975G01012,10
IMAGICAA,IMAGICAA.NS,Imagicaaworld Entertainment Limited,EQ,6-Apr-15,10,1,INE172N01012,10
IMFA,IMFA.NS,Indian Metals & Ferro Alloys Limited,EQ,23-Jul-10,10,1,INE919H01018,10
IMPAL,IMPAL.NS,India Motor Parts and Accessories Limited,EQ,7-Oct-05,10,1,INE547E01014,10
IMPEXFERRO,IMPEXFERRO.NS,Impex Ferro Tech Limited,BE,3-Feb-05,10,1,INE691G01015,10
INCREDIBLE,INCREDIBLE.NS,INCREDIBLE INDUSTRIES LIMITED,BE,1-Jul-16,10,1,INE452L01012,10
INDBANK,INDBANK.NS,Indbank Merchant Banking Services Limited,EQ,8-Oct-08,10,1,INE841B01017,10
INDGN,INDGN.NS,Indegene Limited,EQ,13-May-24,2,1,INE065X01017,2
INDHOTEL,INDHOTEL.NS,The Indian Hotels Company Limited,EQ,3-Jul-96,1,1,INE053A01029,1
INDIACEM,INDIACEM.NS,The India Cements Limited,EQ,31-May-00,10,1,INE383A01012,10
INDIAGLYCO,INDIAGLYCO.NS,India Glycols Limited,EQ,1-Jul-05,10,1,INE560A01015,10
INDIAMART,INDIAMART.NS,Indiamart Intermesh Limited,EQ,4-Jul-19,10,1,INE933S01016,10
INDIANB,INDIANB.NS,Indian Bank,EQ,1-Mar-07,10,1,INE562A01011,10
INDIANCARD,INDIANCARD.NS,Indian Card Clothing Company Limited,EQ,8-Jan-97,10,1,INE061A01014,10
INDIANHUME,INDIANHUME.NS,Indian Hume Pipe Company Limited,EQ,30-Aug-95,2,1,INE323C01030,2
INDIASHLTR,INDIASHLTR.NS,India Shelter Finance Corporation Limited,EQ,20-Dec-23,5,1,INE922K01024,5
INDIGO,INDIGO.NS,InterGlobe Aviation Limited,EQ,10-Nov-15,10,1,INE646L01027,10
INDIGOPNTS,INDIGOPNTS.NS,Indigo Paints Limited,EQ,2-Feb-21,10,1,INE09VQ01012,10
INDNIPPON,INDNIPPON.NS,India Nippon Electricals Limited,EQ,7-May-97,5,1,INE092B01025,5
INDOAMIN,INDOAMIN.NS,Indo Amines Limited,EQ,29-Apr-22,5,1,INE760F01028,5
INDOBORAX,INDOBORAX.NS,Indo Borax & Chemicals Limited,EQ,29-Mar-22,1,1,INE803D01021,1
INDOCO,INDOCO.NS,Indoco Remedies Limited,EQ,14-Jan-05,2,1,INE873D01024,2
INDORAMA,INDORAMA.NS,Indo Rama Synthetics (India) Limited,EQ,20-Jun-03,10,1,INE156A01020,10
INDOSTAR,INDOSTAR.NS,IndoStar Capital Finance Limited,EQ,21-May-18,10,1,INE896L01010,10
INDOTECH,INDOTECH.NS,Indo Tech Transformers Limited,EQ,16-Mar-06,10,1,INE332H01014,10
INDOTHAI,INDOTHAI.NS,Indo Thai Securities Limited,BE,2-Nov-11,10,1,INE337M01013,10
INDOWIND,INDOWIND.NS,Indowind Energy Limited,BE,14-Sep-07,10,1,INE227G01018,10
INDRAMEDCO,INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,EQ,17-Apr-97,10,1,INE681B01017,10
INDSWFTLAB,INDSWFTLAB.NS,Ind-Swift Laboratories Limited,BE,2-Jul-97,10,1,INE915B01019,10
INDSWFTLTD,INDSWFTLTD.NS,Ind-Swift Limited,EQ,18-Oct-04,2,1,INE788B01028,2
INDTERRAIN,INDTERRAIN.NS,Indian Terrain Fashions Limited,EQ,11-Mar-11,2,1,INE611L01021,2
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Limited,EQ,28-Jan-98,10,1,INE095A01012,10
INDUSTOWER,INDUSTOWER.NS,Indus Towers Limited,EQ,28-Dec-12,10,1,INE121J01017,10
INFIBEAM,INFIBEAM.NS,Infibeam Avenues Limited,BE,4-Apr-16,1,1,INE483S01020,1
INFOBEAN,INFOBEAN.NS,InfoBeans Technologies Limited,EQ,15-Jul-19,10,1,INE344S01016,10
INFOMEDIA,INFOMEDIA.NS,Infomedia Press Limited,BE,12-Oct-06,10,1,INE669A01022,10
INFY,INFY.NS,Infosys Limited,EQ,8-Feb-95,5,1,INE009A01021,5
INGERRAND,INGERRAND.NS,Ingersoll Rand (India) Limited,EQ,15-Apr-99,10,1,INE177A01018,10
INNOVACAP,INNOVACAP.NS,Innova Captab Limited,EQ,29-Dec-23,10,1,INE0DUT01020,10
INOXGREEN,INOXGREEN.NS,Inox Green Energy Services Limited,EQ,23-Nov-22,10,1,INE510W01014,10
INOXINDIA,INOXINDIA.NS,INOX India Limited,EQ,21-Dec-23,2,1,INE616N01034,2
INOXWIND,INOXWIND.NS,Inox Wind Limited,EQ,9-Apr-15,10,1,INE066P01011,10
INSECTICID,INSECTICID.NS,Insecticides (India) Limited,EQ,30-May-07,10,1,INE070I01018,10
INSPIRISYS,INSPIRISYS.NS,Inspirisys Solutions Limited,BE,30-Oct-06,10,1,INE020G01017,10
INTELLECT,INTELLECT.NS,Intellect Design Arena Limited,EQ,18-Dec-14,5,1,INE306R01017,5
INTENTECH,INTENTECH.NS,Intense Technologies Limited,BE,23-Mar-17,2,1,INE781A01025,2
INTERARCH,INTERARCH.NS,Interarch Building Products Limited,EQ,26-Aug-24,10,1,INE00M901018,10
INTLCONV,INTLCONV.NS,International Conveyors Limited,EQ,16-Sep-21,1,1,INE575C01027,1
INVENTURE,INVENTURE.NS,Inventure Growth & Securities Limited,EQ,4-Aug-11,1,1,INE878H01024,1
IOB,IOB.NS,Indian Overseas Bank,EQ,7-Dec-00,10,1,INE565A01014,10
IOC,IOC.NS,Indian Oil Corporation Limited,EQ,24-Jul-96,10,1,INE242A01010,10
IOLCP,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited,EQ,8-Nov-10,10,1,INE485C01011,10
IONEXCHANG,IONEXCHANG.NS,ION Exchange (India) Limited,EQ,22-Feb-22,1,1,INE570A01022,1
IPCALAB,IPCALAB.NS,IPCA Laboratories Limited,EQ,8-Feb-95,1,1,INE571A01038,1
IPL,IPL.NS,India Pesticides Limited,EQ,5-Jul-21,1,1,INE0D6701023,1
IRB,IRB.NS,IRB Infrastructure Developers Limited,EQ,25-Feb-08,1,1,INE821I01022,1
IRCON,IRCON.NS,Ircon International Limited,EQ,28-Sep-18,2,1,INE962Y01021,2
IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,EQ,14-Oct-19,2,1,INE335Y01020,2
IREDA,IREDA.NS,Indian Renewable Energy Development Agency Limited,EQ,29-Nov-23,10,1,INE202E01016,10
IRFC,IRFC.NS,Indian Railway Finance Corporation Limited,EQ,29-Jan-21,10,1,INE053F01010,10
IRIS,IRIS.NS,Iris Business Services Limited,BE,8-Nov-21,10,1,INE864K01010,10
IRISDOREME,IRISDOREME.NS,Iris Clothings Limited,EQ,22-Feb-21,2,1,INE01GN01025,2
IRMENERGY,IRMENERGY.NS,IRM Energy Limited,EQ,26-Oct-23,10,1,INE07U701015,10
ISEC,ISEC.NS,ICICI Securities Limited,EQ,4-Apr-18,5,1,INE763G01038,5
ISFT,ISFT.NS,Intrasoft Technologies Limited,BE,12-Apr-10,10,1,INE566K01011,10
ISGEC,ISGEC.NS,Isgec Heavy Engineering Limited,EQ,5-May-21,1,1,INE858B01029,1
ITC,ITC.NS,ITC Limited,EQ,23-Aug-95,1,1,INE154A01025,1
ITDC,ITDC.NS,India Tourism Development Corporation Limited,EQ,30-Dec-16,10,1,INE353K01014,10
ITDCEM,ITDCEM.NS,ITD Cementation India Limited,EQ,10-Feb-99,1,1,INE686A01026,1
ITI,ITI.NS,ITI Limited,EQ,15-Sep-03,10,1,INE248A01017,10
IVC,IVC.NS,IL&FS Investment Managers Limited,BE,15-Sep-99,2,1,INE050B01023,2
IVP,IVP.NS,IVP Limited,BE,13-Sep-95,10,1,INE043C01018,10
IWEL,IWEL.NS,Inox Wind Energy Limited,BE,11-Jun-21,10,1,INE0FLR01028,10
IXIGO,IXIGO.NS,Le Travenues Technology Limited,EQ,18-Jun-24,1,1,INE0HV901016,1
IZMO,IZMO.NS,IZMO Limited,BE,5-Feb-07,10,1,INE848A01014,10
J&KBANK,J&KBANK.NS,The Jammu & Kashmir Bank Limited,EQ,22-Jul-98,1,1,INE168A01041,1
JAGRAN,JAGRAN.NS,Jagran Prakashan Limited,EQ,22-Feb-06,2,1,INE199G01027,2
JAGSNPHARM,JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited,EQ,1-Mar-00,5,1,INE048B01027,5
JAIBALAJI,JAIBALAJI.NS,Jai Balaji Industries Limited,EQ,9-Dec-03,10,1,INE091G01018,10
JAICORPLTD,JAICORPLTD.NS,Jai Corp Limited,EQ,26-Nov-97,1,1,INE070D01027,1
JAIPURKURT,JAIPURKURT.NS,Nandani Creation Limited,EQ,2-Sep-21,10,1,INE696V01013,10
JAMNAAUTO,JAMNAAUTO.NS,Jamna Auto Industries Limited,EQ,10-Dec-10,1,1,INE039C01032,1
JASH,JASH.NS,Jash Engineering Limited,EQ,30-Oct-19,10,1,INE039O01011,10
JAYAGROGN,JAYAGROGN.NS,Jayant Agro Organics Limited,EQ,17-Apr-96,5,1,INE785A01026,5
JAYBARMARU,JAYBARMARU.NS,Jay Bharat Maruti Limited,EQ,3-Jan-96,2,1,INE571B01036,2
JAYNECOIND,JAYNECOIND.NS,Jayaswal Neco Industries Limited,EQ,10-May-95,10,1,INE854B01010,10
JAYSREETEA,JAYSREETEA.NS,Jayshree Tea & Industries Limited,EQ,15-Feb-95,5,1,INE364A01020,5
JBCHEPHARM,JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,EQ,29-Apr-03,1,1,INE572A01036,1
JBMA,JBMA.NS,JBM Auto Limited,EQ,17-Dec-04,2,1,INE927D01044,2
JCHAC,JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,3-Jan-00,10,1,INE782A01015,10
JETAIRWAYS,JETAIRWAYS.NS,Jet Airways (India) Limited,BZ,14-Mar-05,10,1,INE802G01018,10
JETFREIGHT,JETFREIGHT.NS,Jet Freight Logistics Limited,BE,21-Dec-21,5,1,INE982V01025,5
JGCHEM,JGCHEM.NS,J.G.Chemicals Limited,EQ,13-Mar-24,10,1,INE0MB501011,10
JHS,JHS.NS,JHS Svendgaard Laboratories Limited,BE,21-Oct-06,10,1,INE544H01014,10
JINDALPHOT,JINDALPHOT.NS,Jindal Photo Limited,EQ,7-Apr-05,10,1,INE796G01012,10
JINDALPOLY,JINDALPOLY.NS,Jindal Poly Films Limited,EQ,21-Jan-02,10,1,INE197D01010,10
JINDALSAW,JINDALSAW.NS,Jindal Saw Limited,EQ,29-Apr-03,2,1,INE324A01024,2
JINDALSTEL,JINDALSTEL.NS,Jindal Steel & Power Limited,EQ,29-Dec-99,1,1,INE749A01030,1
JINDRILL,JINDRILL.NS,Jindal Drilling And Industries Limited,EQ,22-Dec-06,5,1,INE742C01031,5
JINDWORLD,JINDWORLD.NS,Jindal Worldwide Limited,EQ,25-Nov-10,1,1,INE247D01039,1
JIOFIN,JIOFIN.NS,Jio Financial Services Limited,EQ,21-Aug-23,10,1,INE758E01017,10
JISLDVREQS,JISLDVREQS.NS,Jain Irrigation Systems Limited,EQ,30-Nov-11,2,1,IN9175A01010,2
JISLJALEQS,JISLJALEQS.NS,Jain Irrigation Systems Limited,EQ,13-Aug-01,2,1,INE175A01038,2
JITFINFRA,JITFINFRA.NS,JITF Infralogistics Limited,EQ,27-Feb-17,2,1,INE863T01013,2
