SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BCONCEPTS,BCONCEPTS.NS,Brand Concepts Limited,EQ,11-Jan-22,10,1,INE977Y01011,10
BDL,BDL.NS,Bharat Dynamics Limited,EQ,23-Mar-18,5,1,INE171Z01026,5
BEARDSELL,BEARDSELL.NS,Beardsell Limited,EQ,13-Jan-15,2,1,INE520H01022,2
BECTORFOOD,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,10,1,INE495P01012,10
BEDMUTHA,BEDMUTHA.NS,Bedmutha Industries Limited,EQ,14-Oct-10,10,1,INE844K01012,10
BEL,BEL.NS,Bharat Electronics Limited,EQ,19-Jul-00,1,1,INE263A01024,1
BEML,BEML.NS,BEML Limited,EQ,5-Nov-03,10,1,INE258A01016,10
BEPL,BEPL.NS,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,1,1,INE922A01025,1
BERGEPAINT,BERGEPAINT.NS,Berger Paints (I) Limited,EQ,24-Nov-99,1,1,INE463A01038,1
BESTAGRO,BESTAGRO.NS,Best Agrolife Limited,EQ,10-Apr-24,10,1,INE052T01013,10
BFINVEST,BFINVEST.NS,BF Investment Limited,EQ,14-Jan-11,5,1,INE878K01010,5
BFUTILITIE,BFUTILITIE.NS,BF Utilities Limited,EQ,3-May-07,5,1,INE243D01012,5
BGRENERGY,BGRENERGY.NS,BGR Energy Systems Limited,BE,3-Jan-08,10,1,INE661I01014,10
BHAGCHEM,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-21,1,1,INE414D01027,1
BHAGERIA,BHAGERIA.NS,Bhageria Industries Limited,EQ,2-Mar-16,5,1,INE354C01027,5
BHAGYANGR,BHAGYANGR.NS,Bhagyanagar India Limited,EQ,17-May-17,2,1,INE458B01036,2
BHANDARI,BHANDARI.NS,Bhandari Hosiery Exports Limited,EQ,30-Jan-17,1,1,INE474E01029,1
BHARATFORG,BHARATFORG.NS,Bharat Forge Limited,EQ,4-Apr-03,2,1,INE465A01025,2
BHARATGEAR,BHARATGEAR.NS,Bharat Gears Limited,EQ,3-Apr-96,10,1,INE561C01019,10
BHARATRAS,BHARATRAS.NS,Bharat Rasayan Limited,EQ,11-Oct-95,10,1,INE838B01013,10
BHARATWIRE,BHARATWIRE.NS,Bharat Wire Ropes Limited,EQ,1-Apr-16,10,1,INE316L01019,10
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,EQ,15-Feb-02,5,1,INE397D01024,5
BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Limited,EQ,12-Apr-24,5,1,INE343G01021,5
BHEL,BHEL.NS,Bharat Heavy Electricals Limited,EQ,11-Nov-03,2,1,INE257A01026,2
BIGBLOC,BIGBLOC.NS,Bigbloc Construction Limited,EQ,2-Sep-16,2,1,INE412U01025,2
BIKAJI,BIKAJI.NS,Bikaji Foods International Limited,EQ,16-Nov-22,1,1,INE00E101023,1
BIL,BIL.NS,Bhartiya International Limited,EQ,12-Apr-00,10,1,INE828A01016,10
BINANIIND,BINANIIND.NS,Binani Industries Limited,BE,27-Sep-06,10,1,INE071A01013,10
BIOCON,BIOCON.NS,Biocon Limited,EQ,7-Apr-04,5,1,INE376G01013,5
BIOFILCHEM,BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-96,10,1,INE829A01014,10
BIRLACABLE,BIRLACABLE.NS,Birla Cable Limited,EQ,6-Dec-95,10,1,INE800A01015,10
BIRLACORPN,BIRLACORPN.NS,Birla Corporation Limited,EQ,12-Apr-95,10,1,INE340A01012,10
BIRLAMONEY,BIRLAMONEY.NS,Aditya Birla Money Limited,BE,7-Feb-08,1,1,INE865C01022,1
BLAL,BLAL.NS,BEML Land Assets Limited,EQ,19-Apr-23,10,1,INE0N7W01012,10
BLBLIMITED,BLBLIMITED.NS,BLB Limited,BE,31-May-00,1,1,INE791A01024,1
BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Limited,EQ,26-Jul-10,1,1,INE416D01022,1
BLKASHYAP,BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,1,1,INE350H01032,1
BLS,BLS.NS,BLS International Services Limited,EQ,14-Jun-16,1,1,INE153T01027,1
BLSE,BLSE.NS,BLS E-Services Limited,EQ,6-Feb-24,10,1,INE0NLT01010,10
BLUECHIP,BLUECHIP.NS,Blue Chip India Limited,BE,12-Mar-97,2,1,INE657B01025,2
BLUEDART,BLUEDART.NS,Blue Dart Express Limited,EQ,12-Dec-02,10,1,INE233B01017,10
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Limited,EQ,1-Nov-23,2,1,INE0KBH01020,2
BLUESTARCO,BLUESTARCO.NS,Blue Star Limited,EQ,15-Jun-00,2,1,INE472A01039,2
BODALCHEM,BODALCHEM.NS,Bodal Chemicals Limited,EQ,22-Aug-11,2,1,INE338D01028,2
BOMDYEING,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,2,1,INE032A01023,2
BOROLTD,BOROLTD.NS,Borosil Limited,EQ,22-Jul-20,1,1,INE02PY01013,1
BORORENEW,BORORENEW.NS,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,1,1,INE666D01022,1
BOROSCI,BOROSCI.NS,Borosil Scientific Limited,EQ,7-Jun-24,1,1,INE02L001032,1
BOSCHLTD,BOSCHLTD.NS,Bosch Limited,EQ,12-May-03,10,1,INE323A01026,10
BPCL,BPCL.NS,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,10,1,INE029A01011,10
BPL,BPL.NS,BPL Limited,BE,14-Jun-95,10,1,INE110A01019,10
BRIGADE,BRIGADE.NS,Brigade Enterprises Limited,EQ,31-Dec-07,10,1,INE791I01019,10
BRITANNIA,BRITANNIA.NS,Britannia Industries Limited,EQ,5-Nov-98,1,1,INE216A01030,1
